route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
9,пн-вт-ср-чт-пт-сб-нд,9-07,Базарна площа (ТЦ «Промінь»),0,10:30,,,
9,пн-вт-ср-чт-пт-сб-нд,9-08,"Малинівка, Юрівка, БАМ",1,11:00,,,
9,пн-вт-ср-чт-пт-сб-нд,9-09,Базарна площа (ТЦ «Промінь»),0,11:30,,,
9,пн-вт-ср-чт-пт-сб-нд,9-10,"Малинівка, Юрівка, БАМ",1,12:00,,,
9,пн-вт-ср-чт-пт-сб-нд,9-11,Базарна площа (ТЦ «Промінь»),0,12:30,,,
9,пн-вт-ср-чт-пт-сб-нд,9-12,"Малинівка, Юрівка, БАМ",1,13:00,,,
9,пн-вт-ср-чт-пт-сб-нд,9-13,Базарна площа (ТЦ «Промінь»),0,13:30,,,
9,пн-вт-ср-чт-пт-сб-нд,9-14,"Малинівка, Юрівка, БАМ",1,15:00,,,
9,пн-вт-ср-чт-пт-сб-нд,9-15,Базарна площа (ТЦ «Промінь»),0,15:30,,,
9,пн-вт-ср-чт-пт-сб-нд,9-16,"Малинівка, Юрівка, БАМ",1,16:00,,,
9,пн-вт-ср-чт-пт-сб-нд,9-17,Базарна площа (ТЦ «Промінь»),0,16:30,,,
9,пн-вт-ср-чт-пт-сб-нд,9-18,"Малинівка, Юрівка, БАМ",1,17:20,,,
9,пн-вт-ср-чт-пт-сб-нд,9-19,Базарна площа (ТЦ «Промінь»),0,17:40,,,
11,пн-вт-ср-чт-пт-сб-нд,11-01,Залізничний вокзал,1,6:45,,,
11,пн-вт-ср-чт-пт-сб-нд,11-02,Паперова фабрика,0,6:45,,,
11,пн-вт-ср-чт-пт-сб-нд,11-03,Залізничний вокзал,1,8:00,,,
11,пн-вт-ср-чт-пт-сб-нд,11-04,Паперова фабрика,0,8:00,,,
11,пн-вт-ср-чт-пт-сб-нд,11-05,Залізничний вокзал,1,9:20,,,
11,пн-вт-ср-чт-пт-сб-нд,11-06,Паперова фабрика,0,9:35,,,
11,пн-вт-ср-чт-пт-сб-нд,11-07,Залізничний вокзал,1,10:50,,,
11,пн-вт-ср-чт-пт-сб-нд,11-08,Паперова фабрика,0,11:05,,,
11,пн-вт-ср-чт-пт-сб-нд,11-09,Паперова фабрика,0,12:25,,,
11,пн-вт-ср-чт-пт-сб-нд,11-10,Паперова фабрика,0,14:00,,,
11,пн-вт-ср-чт-пт-сб-нд,11-11,Залізничний вокзал,1,14:10,,,
11,пн-вт-ср-чт-пт-сб-нд,11-12,Залізничний вокзал,1,15:40,,,
11,пн-вт-ср-чт-пт-сб-нд,11-13,Паперова фабрика,0,15:40,,,
11,пн-вт-ср-чт-пт-сб-нд,11-14,Паперова фабрика,0,17:00,,,
11,пн-вт-ср-чт-пт-сб-нд,11-15,Залізничний вокзал,1,17:05,,,
11,пн-вт-ср-чт-пт-сб-нд,11-16,Паперова фабрика,0,18:40,,,
11,пн-вт-ср-чт-пт-сб-нд,11-17,Залізничний вокзал,1,18:50,,,
